index,path,filename,width,height,aspect,orientation,mean_r,mean_g,mean_b,brightness,saturation,contrast,colorfulness,edge_density,phash,cluster
408,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0408_32666aec6dc6.jpg,pin_0408_32666aec6dc6.jpg,960,1200,0.8,portrait,206.946,189.998,169.536,0.7557,0.2107,0.2329,42.2818,0.0905,ca979a6ba5cf3022,3
409,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0409_0ad2d033e62f.png,pin_0409_0ad2d033e62f.png,578,1156,0.5,portrait,183.504,176.34,163.953,0.6944,0.1991,0.375,43.3119,0.0908,e9e0861eb5a60fe1,5
410,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0410_864298cef7de.jpg,pin_0410_864298cef7de.jpg,1142,1280,0.8922,square-ish,79.132,83.428,67.711,0.3152,0.424,0.2354,29.9073,0.1122,9430b5e14ec16fe5,1
411,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0411_752e330eb5b6.jpg,pin_0411_752e330eb5b6.jpg,1024,1024,1.0,square-ish,108.334,71.819,57.608,0.3181,0.4275,0.2057,77.8979,0.057,afb0a28673cd5629,4
412,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0412_d419528653da.jpg,pin_0412_d419528653da.jpg,437,762,0.5735,portrait,164.042,144.067,128.671,0.5815,0.2458,0.1798,40.1762,0.1309,ddc693ae64356388,7
413,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0413_03aed0b22341.jpg,pin_0413_03aed0b22341.jpg,720,717,1.0042,square-ish,57.231,62.57,67.454,0.2413,0.3676,0.1955,14.9434,0.0515,95e2481a659f379c,0
414,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0414_c1653ae5d514.jpg,pin_0414_c1653ae5d514.jpg,1200,1034,1.1605,square-ish,179.996,171.701,158.77,0.6774,0.1285,0.2362,19.9519,0.1382,92427d3d5172f394,3
415,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0415_ef3694aabf09.jpg,pin_0415_ef3694aabf09.jpg,427,426,1.0023,square-ish,100.392,93.248,116.36,0.3844,0.2702,0.2624,25.9553,0.1655,9585c47a693d1c97,6
416,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0416_f3dc85f0e3ba.jpg,pin_0416_f3dc85f0e3ba.jpg,640,422,1.5166,landscape,119.152,102.582,89.108,0.4157,0.425,0.3138,51.5141,0.1644,d590a4c39bca68b7,6
417,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0417_e26cfa8ac3c8.jpg,pin_0417_e26cfa8ac3c8.jpg,574,514,1.1167,square-ish,117.525,111.206,103.91,0.4403,0.2939,0.313,30.629,0.1463,e465d91a9abce4c1,6
418,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0418_64426b1e220e.jpg,pin_0418_64426b1e220e.jpg,1024,725,1.4124,landscape,229.299,229.363,214.744,0.8929,0.0894,0.1055,29.1416,0.0907,fe3ca713b494a360,11
419,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0419_6b5281da8c9d.jpg,pin_0419_6b5281da8c9d.jpg,2048,1343,1.5249,landscape,238.591,214.58,215.104,0.8699,0.1144,0.169,60.0244,0.14,bc1cc3c3c1e1c3e3,11
420,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0420_0521476a93df.jpg,pin_0420_0521476a93df.jpg,3464,3464,1.0,square-ish,153.283,127.968,104.414,0.521,0.3432,0.2072,50.8032,0.0933,90ecf39d1c724d62,10
421,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0421_67f879d4e57e.jpg,pin_0421_67f879d4e57e.jpg,3464,3464,1.0,square-ish,177.67,147.439,119.832,0.6013,0.3387,0.1868,62.709,0.1525,f492827d36ca0d73,10
422,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0422_ba4e3f7e8a39.png,pin_0422_ba4e3f7e8a39.png,930,930,1.0,square-ish,210.031,209.367,199.144,0.8172,0.0953,0.2914,25.3873,0.0695,eb8c9699ce723384,3
423,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0423_d866490063fd.jpg,pin_0423_d866490063fd.jpg,1079,1402,0.7696,portrait,69.5,82.887,78.302,0.3072,0.322,0.2992,12.8478,0.0428,ba412672add887f8,1
424,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0424_f9cfdea90e09.jpg,pin_0424_f9cfdea90e09.jpg,1622,2048,0.792,portrait,148.752,139.871,137.815,0.558,0.1224,0.2921,25.8374,0.0761,ec355bedc68c9092,5
425,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0425_4f1b0cfc852d.png,pin_0425_4f1b0cfc852d.png,2480,2480,1.0,square-ish,217.01,217.009,217.008,0.851,0.0,0.2975,0.0384,0.108,b4cb9b8e643c9332,3
426,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0426_cab40ad11015.jpg,pin_0426_cab40ad11015.jpg,2144,2144,1.0,square-ish,127.298,128.158,128.054,0.5015,0.0786,0.3124,8.5052,0.1793,c2de556d65652f02,5
427,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0427_75af4f425e8f.jpg,pin_0427_75af4f425e8f.jpg,462,1125,0.4107,portrait,36.691,34.449,30.93,0.1361,0.0795,0.1524,10.3255,0.0285,c8983666dbc31d39,0
428,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0428_a67108be0167.jpg,pin_0428_a67108be0167.jpg,736,736,1.0,square-ish,108.637,104.208,98.536,0.4112,0.0982,0.0954,13.9539,0.004,ccc926729fcc4837,1
429,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0429_5ccd8042f3cf.jpg,pin_0429_5ccd8042f3cf.jpg,474,474,1.0,square-ish,180.938,176.101,176.462,0.6966,0.0698,0.3222,8.8163,0.0477,9b43e6ec3109b43e,3
430,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0430_0d49fcd61b84.jpg,pin_0430_0d49fcd61b84.jpg,990,715,1.3846,landscape,239.025,238.339,235.959,0.9344,0.0241,0.1757,8.1522,0.0671,b84ec7b138cccc87,11
431,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0431_3a5618f1c5fe.jpg,pin_0431_3a5618f1c5fe.jpg,597,597,1.0,square-ish,156.618,156.618,156.618,0.6142,0.0,0.3847,0.0,0.092,be47c6c08da596b2,5
432,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0432_91e283c63a1b.jpg,pin_0432_91e283c63a1b.jpg,736,736,1.0,square-ish,223.126,223.126,223.126,0.875,0.0,0.2902,0.0,0.0953,a6c9da3cd9790c86,3
433,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0433_a3684935635d.jpg,pin_0433_a3684935635d.jpg,563,611,0.9214,square-ish,223.696,223.696,223.696,0.8772,0.0,0.3132,0.0,0.0372,e5648e739a983996,3
434,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0434_b22e362c06bf.jpg,pin_0434_b22e362c06bf.jpg,480,640,0.75,portrait,98.961,84.276,78.125,0.345,0.2468,0.2463,27.7396,0.0622,ddc711195cea0717,9
435,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0435_d47098b0f0da.jpg,pin_0435_d47098b0f0da.jpg,536,611,0.8773,square-ish,58.033,58.033,58.033,0.2276,0.0,0.4019,0.0,0.056,8eab3165c3929ada,5
436,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0436_b087c2c64308.jpg,pin_0436_b087c2c64308.jpg,736,736,1.0,square-ish,92.384,92.3,92.326,0.3621,0.0223,0.4543,1.2843,0.0471,c731286eda9689e6,5
437,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0437_b06e12b592ca.webp,pin_0437_b06e12b592ca.webp,579,593,0.9764,square-ish,22.755,22.751,22.755,0.0892,0.0001,0.2002,0.0766,0.1263,99d966263c5999b1,0
438,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0438_b2ad32af45cc.jpg,pin_0438_b2ad32af45cc.jpg,1080,1080,1.0,square-ish,228.337,221.988,217.836,0.8761,0.0767,0.1588,25.9267,0.0258,f8b0874f6836d459,11
439,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0439_530a4aae6db6.jpg,pin_0439_530a4aae6db6.jpg,1070,986,1.0852,square-ish,226.307,222.48,215.543,0.8739,0.0729,0.2312,21.6777,0.0491,bfc0271cd9079c9c,11
440,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0440_5d07281067b4.jpg,pin_0440_5d07281067b4.jpg,736,736,1.0,square-ish,242.602,240.022,238.119,0.9434,0.0235,0.1037,17.5423,0.0114,e62699996467c68e,11
441,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0441_22db16ae8487.jpg,pin_0441_22db16ae8487.jpg,1179,1175,1.0034,square-ish,203.296,211.95,218.841,0.8242,0.1006,0.1426,24.1535,0.0345,f9e19ed2c790c318,11
442,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0442_7299ee5542c7.jpg,pin_0442_7299ee5542c7.jpg,736,569,1.2935,landscape,149.59,121.393,113.036,0.5054,0.3404,0.2169,42.5851,0.0178,8f181050575757df,8
443,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0443_287f500c023d.jpg,pin_0443_287f500c023d.jpg,1080,1920,0.5625,portrait,76.4,73.475,89.243,0.2985,0.3213,0.2139,22.6413,0.2029,c427444d4ecbf9cc,9
444,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0444_4b7de6709969.png,pin_0444_4b7de6709969.png,245,236,1.0381,square-ish,98.414,98.414,98.414,0.3859,0.0,0.4275,0.0,0.1391,87b37ad2712e9434,5
445,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0445_e118698a9be6.jpg,pin_0445_e118698a9be6.jpg,736,920,0.8,portrait,171.766,157.887,154.04,0.6334,0.11,0.3372,28.7213,0.0884,ebb4a443b0933ccb,5
446,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0446_2b4a1ad62985.jpg,pin_0446_2b4a1ad62985.jpg,1224,1632,0.75,portrait,185.254,146.709,117.518,0.6075,0.3883,0.1542,40.3308,0.0325,fd330ee9db320c81,2
447,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0447_a195cafde347.jpg,pin_0447_a195cafde347.jpg,2651,4080,0.6498,portrait,163.875,123.522,92.088,0.5177,0.465,0.1813,63.1939,0.1534,d73b3950e8d9c087,10
448,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0448_f26e5d5507d8.jpg,pin_0448_f26e5d5507d8.jpg,1280,960,1.3333,landscape,166.965,156.727,141.373,0.6197,0.1642,0.1526,17.2491,0.1034,d5943fe292e033c3,2
449,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0449_0bee426480b5.jpg,pin_0449_0bee426480b5.jpg,735,856,0.8586,square-ish,198.318,194.62,191.555,0.7662,0.24,0.2896,62.226,0.0861,a49b9794c9cea526,3
450,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0450_f1cceb537ed5.jpg,pin_0450_f1cceb537ed5.jpg,1080,1920,0.5625,portrait,150.073,149.358,142.842,0.5836,0.2223,0.3273,23.4917,0.0897,95443acbc585f636,5
451,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0451_22a2d8e390d5.jpg,pin_0451_22a2d8e390d5.jpg,634,837,0.7575,portrait,83.831,78.698,81.942,0.3161,0.4954,0.1771,44.6392,0.1292,c068631f254f9cf3,4
452,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0452_6b981494485c.jpg,pin_0452_6b981494485c.jpg,1200,1636,0.7335,portrait,124.855,114.484,106.013,0.4573,0.1376,0.3435,22.7658,0.0615,d0c70b2d7d247c36,5
453,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0453_86e1008cd58e.jpg,pin_0453_86e1008cd58e.jpg,760,1072,0.709,portrait,198.103,184.741,185.639,0.7405,0.2038,0.2269,57.3175,0.1162,e9c3863cdb4a3661,7
454,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0454_6fb9e9f1c46f.jpg,pin_0454_6fb9e9f1c46f.jpg,818,1074,0.7616,portrait,163.014,167.125,184.516,0.6583,0.1683,0.1834,41.8142,0.1253,acdb13b0b0e88e5b,7
455,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0455_cae6a726a0e4.jpg,pin_0455_cae6a726a0e4.jpg,797,1077,0.74,portrait,224.972,220.856,222.417,0.8716,0.0237,0.2057,19.3408,0.0887,e59d9ac6d8699226,11
456,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0456_8063896e174e.jpg,pin_0456_8063896e174e.jpg,736,736,1.0,square-ish,199.253,199.116,181.689,0.7732,0.1428,0.2273,38.8988,0.0237,e3d21d72725d9146,11
457,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0457_632a67d7079c.jpg,pin_0457_632a67d7079c.jpg,1080,1920,0.5625,portrait,92.506,89.555,86.333,0.3532,0.1402,0.2537,16.2352,0.1755,98d63f78636d6412,9
458,C:\Users\lalad\OneDrive\Desktop\Pinterest-всякое\pin_0458_190548e69d78.jpg,pin_0458_190548e69d78.jpg,594,420,1.4143,landscape,65.23,65.23,65.23,0.2558,0.0,0.25,0.0,0.0789,cc2cb1f323e6c607,1
